iter	Passed	Remaining
467	710	808
468	711	806
469	712	803
470	714	802
471	715	800
472	716	798
473	717	796
474	718	794
475	719	792
476	720	790
477	721	788
478	722	786
479	724	784
480	725	783
481	727	781
482	729	781
483	731	779
484	732	777
485	733	776
486	734	774
487	736	772
488	736	770
489	738	768
490	739	766
491	740	764
492	741	762
493	742	760
494	744	759
495	745	757
496	746	755
497	747	753
498	748	751
499	749	749
500	750	747
501	751	745
502	752	743
503	753	741
504	754	739
505	755	737
506	756	735
507	757	733
508	758	731
509	759	729
510	760	727
511	761	725
512	762	724
513	763	722
514	764	720
515	766	718
516	767	716
517	768	715
518	770	713
519	771	712
520	773	710
521	774	709
522	775	707
523	776	705
524	777	703
525	779	702
526	780	700
527	781	698
528	782	696
529	783	694
530	784	693
531	786	691
532	787	689
533	788	688
534	789	686
535	791	684
536	792	683
537	793	681
538	794	679
539	795	677
540	796	676
541	798	674
542	799	672
543	800	670
544	803	670
545	805	669
546	806	667
547	807	665
548	808	664
549	809	662
550	810	660
551	812	659
552	813	657
553	814	655
554	816	654
555	817	653
556	819	651
557	820	649
558	821	647
559	821	645
560	822	643
561	823	642
562	824	640
563	826	638
564	827	636
565	828	635
566	829	633
567	831	632
568	833	631
569	834	629
570	835	627
571	836	626
572	837	624
573	838	622
574	840	621
575	841	619
576	842	617
577	842	615
578	844	614
579	846	612
580	847	611
581	848	609
582	849	607
583	850	606
584	851	604
585	852	602
586	853	600
587	854	599
588	855	597
589	856	595
590	857	593
591	860	593
592	861	591
593	863	590
594	864	588
595	865	586
596	866	584
597	867	583
598	868	581
599	869	579
600	870	577
601	871	575
602	872	574
603	873	572
604	875	571
605	876	569
606	877	568
607	878	566
608	879	564
609	880	563
610	881	561
611	882	559
612	883	557
613	884	556
614	885	554
615	887	552
616	889	552
617	890	550
618	891	548
619	892	547
620	894	545
621	895	543
622	896	542
623	896	540
624	897	538
625	898	536
626	899	535
627	900	533
628	901	531
629	903	530
630	904	528
631	905	527
632	906	525
633	907	523
634	908	522
635	909	520
636	910	518
637	911	517
638	912	515
639	913	513
640	914	511
641	914	510
642	915	508
643	916	506
644	918	505
645	919	503
646	920	502
647	921	500
648	922	498
649	923	497
650	924	495
651	925	493
652	926	492
653	927	490
654	928	489
655	929	487
656	930	485
657	931	484
658	932	482
659	933	481
660	935	479
661	936	478
662	937	476
663	938	474
664	939	473
665	940	471
666	941	469
667	942	468
668	943	466
669	945	465
670	947	464
671	948	463
672	950	461
673	953	461
674	954	459
675	956	458
676	957	456
677	958	455
678	959	453
679	960	452
680	962	450
681	963	449
682	964	447
683	966	446
684	967	444
685	968	443
686	969	441
687	970	440
688	972	438
689	973	437
690	974	435
691	975	434
692	977	432
693	978	431
694	979	429
695	981	428
696	982	427
697	983	425
698	985	424
699	986	422
700	988	421
701	989	419
702	990	418
703	992	417
704	993	415
705	994	414
706	995	412
707	996	411
708	997	409
709	999	408
710	1000	406
711	1001	405
712	1002	403
713	1003	402
714	1005	400
715	1006	399
716	1008	397
717	1009	396
718	1010	395
719	1011	393
720	1012	391
721	1013	390
722	1014	388
723	1015	387
724	1016	385
725	1017	383
726	1018	382
727	1019	380
728	1020	379
729	1021	377
730	1022	376
731	1023	374
732	1024	373
733	1025	371
734	1026	370
735	1027	368
736	1028	366
737	1028	365
738	1029	363
739	1030	362
740	1031	360
741	1032	358
742	1033	357
743	1034	355
744	1035	354
745	1036	352
746	1037	351
747	1038	349
748	1039	348
749	1040	346
750	1041	345
751	1042	343
752	1043	342
753	1044	340
754	1045	339
755	1046	337
756	1047	336
757	1048	334
758	1049	333
759	1050	331
760	1051	330
761	1052	328
762	1053	327
763	1054	325
764	1055	324
765	1056	322
766	1057	321
767	1058	319
768	1059	318
769	1059	316
770	1060	315
771	1061	313
772	1062	312
773	1064	310
774	1065	309
775	1066	307
776	1067	306
777	1068	304
778	1069	303
779	1070	301
780	1071	300
781	1072	298
782	1073	297
783	1074	295
784	1075	294
785	1076	293
786	1077	291
787	1079	290
788	1080	288
789	1081	287
790	1082	286
791	1083	284
792	1084	283
793	1085	281
794	1086	280
795	1087	278
796	1088	277
797	1089	275
798	1090	274
799	1090	272
800	1093	271
801	1094	270
802	1096	268
803	1097	267
804	1098	266
805	1099	264
806	1100	263
807	1101	261
808	1102	260
809	1103	258
810	1104	257
811	1104	255
812	1106	254
813	1107	253
814	1108	251
815	1109	250
816	1110	248
817	1111	247
818	1113	245
819	1114	244
820	1114	243
821	1115	241
822	1116	240
823	1117	238
824	1118	237
825	1119	235
826	1120	234
827	1121	232
828	1122	231
829	1123	230
830	1124	228
831	1125	227
832	1126	225
833	1127	224
834	1129	223
835	1130	221
836	1130	220
837	1131	218
838	1132	217
839	1133	215
840	1134	214
841	1135	213
842	1136	211
843	1137	210
844	1138	208
845	1139	207
846	1140	206
847	1141	204
848	1142	203
849	1143	201
850	1144	200
851	1144	198
852	1145	197
853	1146	196
854	1147	194
855	1148	193
856	1149	191
857	1150	190
858	1150	188
859	1151	187
860	1152	186
861	1153	184
862	1155	183
863	1156	181
864	1157	180
865	1158	179
866	1158	177
867	1159	176
868	1160	174
869	1161	173
870	1162	172
871	1163	170
872	1164	169
873	1165	168
874	1166	166
875	1168	165
876	1169	163
877	1170	162
878	1171	161
879	1171	159
880	1172	158
881	1173	157
882	1174	155
883	1175	154
884	1176	152
885	1177	151
886	1178	150
887	1179	148
888	1180	147
889	1181	145
890	1182	144
891	1183	143
892	1184	141
893	1185	140
894	1186	139
895	1187	137
896	1188	136
897	1189	135
898	1190	133
899	1190	132
900	1191	130
901	1192	129
902	1193	128
903	1194	126
904	1195	125
905	1196	124
906	1197	122
907	1198	121
908	1199	120
909	1200	118
910	1201	117
911	1202	116
912	1204	114
913	1205	113
914	1206	112
915	1206	110
916	1207	109
917	1208	107
918	1209	106
919	1210	105
920	1212	103
921	1213	102
922	1214	101
923	1215	99
924	1216	98
925	1217	97
926	1218	95
927	1219	94
928	1220	93
929	1221	91
930	1222	90
931	1223	89
932	1224	87
933	1225	86
934	1226	85
935	1227	83
936	1229	82
937	1230	81
938	1231	79
939	1232	78
940	1233	77
941	1234	75
942	1235	74
943	1235	73
944	1236	71
945	1237	70
946	1238	69
947	1239	68
948	1241	66
949	1242	65
950	1243	64
951	1244	62
952	1245	61
953	1246	60
954	1247	58
955	1248	57
956	1249	56
957	1250	54
958	1251	53
959	1252	52
960	1252	50
961	1253	49
962	1255	48
963	1256	46
964	1257	45
965	1258	44
966	1259	42
967	1260	41
968	1261	40
969	1262	39
970	1263	37
971	1264	36
972	1265	35
973	1266	33
974	1266	32
975	1267	31
976	1268	29
977	1270	28
978	1271	27
979	1272	25
980	1273	24
981	1274	23
982	1275	22
983	1276	20
984	1277	19
985	1278	18
986	1279	16
987	1280	15
988	1281	14
989	1282	12
990	1283	11
991	1284	10
992	1285	9
993	1287	7
994	1289	6
995	1291	5
996	1292	3
997	1293	2
998	1294	1
999	1295	0
